"Name","Day","Date","Time In","Time Out"
"James","None","2018-12-02","18:14:47","18:15:07"
"James","None","2018-12-04","18:18:37","18:33:40"
"James","None","2018-12-13","13:50:17","14:52:16"
"James","Thursday","2018-12-27","17:03:28","None"
